Day,Date,Capital Emission,Code Emission,Compute Emission,Community Emission,Protection Emission,Total Emission,Total Supply
1,2024-02-08,3456,3456,3456,3456,576,14400,14400
2,2024-02-09,6911.407441,6911.407441,6911.407441,6911.407441,1151.90124,14397.53101,28797.53101
3,2024-02-10,10366.22232,10366.22232,10366.22232,10366.22232,1727.703721,14395.06201,43192.59302
4,2024-02-11,13820.44465,13820.44465,13820.44465,13820.44465,2303.407441,14392.59302,57585.18603
5,2024-02-12,17274.07441,17274.07441,17274.07441,17274.07441,2879.012402,14390.12402,71975.31005
6,2024-02-13,20727.11162,20727.11162,20727.11162,20727.11162,3454.518603,14387.65503,86362.96508
7,2024-02-14,24179.55627,24179.55627,24179.55627,24179.55627,4029.926044,14385.18603,100748.1511
8,2024-02-15,27631.40836,27631.40836,27631.40836,27631.40836,4605.234726,14382.71704,115130.8681
9,2024-02-16,31082.66789,31082.66789,31082.66789,31082.66789,5180.444648,14380.24804,129511.1162
10,2024-02-17,34533.33486,34533.33486,34533.33486,34533.33486,5755.55581,14377.77905,143888.8952
11,2024-02-18,37983.40927,37983.40927,37983.40927,37983.40927,6330.568212,14375.31005,158264.2053
12,2024-02-19,41432.89112,41432.89112,41432.89112,41432.89112,6905.481854,14372.84106,172637.0463
13,2024-02-20,44881.78042,44881.78042,44881.78042,44881.78042,7480.296737,14370.37206,187007.4184
14,2024-02-21,48330.07716,48330.07716,48330.07716,48330.07716,8055.012859,14367.90307,201375.3215
15,2024-02-22,51777.78133,51777.78133,51777.78133,51777.78133,8629.630222,14365.43407,215740.7556
16,2024-02-23,55224.89295,55224.89295,55224.89295,55224.89295,9204.148825,14362.96508,230103.7206
17,2024-02-24,58671.41201,58671.41201,58671.41201,58671.41201,9778.568669,14360.49608,244464.2167
18,2024-02-25,62117.33851,62117.33851,62117.33851,62117.33851,10352.88975,14358.02709,258822.2438
19,2024-02-26,65562.67246,65562.67246,65562.67246,65562.67246,10927.11208,14355.5581,273177.8019
20,2024-02-27,69007.41384,69007.41384,69007.41384,69007.41384,11501.23564,14353.0891,287530.891
21,2024-02-28,72451.56267,72451.56267,72451.56267,72451.56267,12075.26044,14350.62011,301881.5111
22,2024-02-29,75895.11893,75895.11893,75895.11893,75895.11893,12649.18649,14348.15111,316229.6622
